Feature_id	Taxon	Confidence
09332d47d9af638c0769a08c5cd31b8e	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Plumatellida;D_9__Pectinatellidae;D_10__Pectinatella magnifica	0.987274788
0f66fbcf2522def8cac9f251b4ce5854	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Aureobasidiaceae;D_10__Aureobasidium;D_11__Aureobasidium pullulans	0.878644377
5aaa256d38ce7667fb28a0d798967ca0	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Apiosporaceae;D_10__Arthrinium;D_11__uncultured Xylariales	0.839684163
16b32795b5408df6ea6561114d6b6da2	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.986389817
1acab30758c3dc13b3ca871e6ea9c2fa	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Enteropneusta;D_8__Harrimaniidae;D_9__Meioglossus psammophilus	0.999116056
77c7a2947afcf9ea51d6f5f780e7be9a	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eugregarinorida;D_7__Lankesteria;D_8__uncultured eukaryote	0.999937126
9803de69bb9e89d90542a3729cbe47d3	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_11__Poales	0.999999966
01e5d1eb147a220e916c189d5caa00a9	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Filobasidiaceae;D_10__Filobasidium;D_11__uncultured Basidiomycota	0.837782305
e1176d8e0323d95b71dad488a204b6cc	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Cercozoa;D_4__Thecofilosea;D_5__uncultured;D_6__uncultured marine eukaryote	0.971895979
ebac961b1ab17ef003a4767ca0d32238	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Enteropneusta;D_8__Harrimaniidae;D_9__Meioglossus psammophilus	0.995976065
88e7280ab65295ba1fed4569e29fba54	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Fabales	0.999925126
20a82f724646aa5c78d48c06adde7450	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Enteropneusta;D_8__Harrimaniidae;D_9__Meioglossus psammophilus	0.994339643
4ef04fdf0bbaf10452288725834e1c9b	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Scolecida;D_9__Spionida;D_10__Prionospio cirrifera	0.999335615
5191617e8be4354c7a794fada7c2f2ca	D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta;D_6__Bacillariophyceae;D_7__Navicula	0.930717533
dcb0b2847dd13aa0a53499d657cc1868	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured eukaryote	0.796306999
fdc28007e7522816c31f7e5397846b96	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 2;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.994018532
9a0b00b39f6f43eb992ee0ad369cd021	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Palpata;D_9__Phyllodocida;D_10__Erinaceusyllis bidentata	0.955133409
8e1cbdbdc69e13a668f3c31e009c2fb2	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi	0.999997891
f7c9b9fbcae6ea00330a89f915ea1b30	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Oligochaeta;D_9__Haplotaxida	0.999867419
b1df5ef83053dcedf5fac2b60dbc01f9	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eugregarinorida;D_7__Lankesteria;D_8__uncultured eukaryote	0.999446937
c61915482383cf696afc2f27e03521a9	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Brassicales;D_11__Conringia;D_12__Conringia planisiliqua	0.948080815
8bde2f92bcb128331ed7aca744682740	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi	0.999999208
bd841c0c140663ad19b00f043983c0a4	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_6__Eugregarinorida;D_7__Lankesteria;D_8__uncultured eukaryote	0.999916096
670dc1a2e2e3cab5627568324230922b	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_8__Arachnida;D_9__Acari;D_10__Puccinia striiformis f. sp. tritici 87/7	0.999999755
36203a9fd7c5540c722b3ea40e37f4ae	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Solanales;D_11__Nicotiana	0.818663976
d10e10d8dc8cbceccdcdc4e388c5ed62	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Cucurbitales	0.982882053
413b0ce27a0da1c2e9f7c10ecd6f40a4	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Saccharomycetaceae;D_10__Saccharomyces;D_11__Saccharomyces cerevisiae (baker's yeast)	0.844157385
