"","row","col","value"
"80","D517ROV5LPC.15","D515ROV1LPC.0",0.967770463955834
"81","D515ROV1PC201.20","D515ROV1LPC.0",0.426415755388045
"82","D522ROV1PC202.20","D515ROV1LPC.0",0.864350780337615
"83","D522ROV1PC205.20","D515ROV1LPC.0",0.765762182821956
"84","D522ROV1LPC1.20","D515ROV1LPC.0",0.761860282407899
"85","D522ROV1PC203.20","D515ROV1LPC.0",0.710044166047351
"86","D522ROV1PC201.20","D515ROV1LPC.0",0.778855080157129
"87","D522ROV1PC204.20","D515ROV1LPC.0",0.661771100966132
"88","D522ROV1LPC2.20","D515ROV1LPC.0",0.75606879711222
"89","D515ROV1LPC.20","D515ROV1LPC.0",0.726808153731819
"90","D523ROV2LPC1.20","D515ROV1LPC.0",0.652403015182079
"91","D517ROV2LPC2.20","D515ROV1LPC.0",0.711016456099374
"92","D517ROV2LPC1.20","D515ROV1LPC.0",0.696419789786602
"93","D517ROV2PC203.20","D515ROV1LPC.0",0.663388045440068
"94","D523ROV2LPC2.20","D515ROV1LPC.0",0.709606964645928
"95","D523ROV2LPC3.20","D515ROV1LPC.0",0.888505998513643
"96","D519ROV2PC201.20","D515ROV1LPC.0",0.840632126552713
"97","D519ROV3PC203.20","D515ROV1LPC.0",0.881818452064975
"98","D518ROV3LPC.20","D515ROV1LPC.0",0.85750695402909
"99","D519ROV3LPC1.20","D515ROV1LPC.0",0.898239303535407
"100","D519ROV3LPC2.20","D515ROV1LPC.0",0.8438471175284
"101","D519ROV3PC204.20","D515ROV1LPC.0",0.89805733092685
"102","D517ROV5LPC.20","D515ROV1LPC.0",0.972866334005733
"103","D517ROV5PC201.20","D515ROV1LPC.0",0.98387387196093
"104","D522ROV1LPC2.25","D515ROV1LPC.0",0.729846905191634
"105","D522ROV1PC203.25","D515ROV1LPC.0",0.866274763775348
"106","D522ROV1PC201.25","D515ROV1LPC.0",0.852401953498248
"107","D515ROV1LPC.25","D515ROV1LPC.0",0.721739462787982
"108","D522ROV1PC202.25","D515ROV1LPC.0",0.895779382100011
"109","D515ROV1PC201.25","D515ROV1LPC.0",0.843122199808897
"110","D522ROV1PC205.25","D515ROV1LPC.0",0.814959974519588
"111","D522ROV1LPC1.25","D515ROV1LPC.0",0.774314258413844
"112","D522ROV1PC204.25","D515ROV1LPC.0",0.720420639133666
"113","D517ROV2LPC2.25","D515ROV1LPC.0",0.702975050429982
"114","D517ROV2PC203.25","D515ROV1LPC.0",0.695899140036097
"115","D523ROV2LPC3.25","D515ROV1LPC.0",0.905922921753902
"116","D523ROV2LPC1.25","D515ROV1LPC.0",0.762953179743073
"117","D523ROV2LPC2.25","D515ROV1LPC.0",0.852183883639452
"118","D517ROV2LPC1.25","D515ROV1LPC.0",0.718012103195668
"119","D519ROV3PC204.25","D515ROV1LPC.0",0.900160738931946
"120","D519ROV3LPC1.25","D515ROV1LPC.0",0.913178893725449
"121","D519ROV3LPC2.25","D515ROV1LPC.0",0.811536044166047
"122","D518ROV3LPC.25","D515ROV1LPC.0",0.863148104894362
"123","D517ROV5LPC.25","D515ROV1LPC.0",0.976043953710585
"124","D517ROV5PC201.25","D515ROV1LPC.0",0.97187769402272
"125","D515ROV1LPC.30","D515ROV1LPC.0",0.80871960930035
"126","D522ROV1PC202.30","D515ROV1LPC.0",0.897246629153838
"127","D522ROV1LPC1.30","D515ROV1LPC.0",0.911003715893407
"128","D522ROV1LPC2.30","D515ROV1LPC.0",0.76825990020172
"129","D522ROV1PC201.30","D515ROV1LPC.0",0.840345259581697
"130","D522ROV1PC205.30","D515ROV1LPC.0",0.771712071345153
"131","D522ROV1PC204.30","D515ROV1LPC.0",0.731125384860389
"132","D523ROV2LPC3.30","D515ROV1LPC.0",0.942399405457055
"133","D517ROV2PC203.30","D515ROV1LPC.0",0.735990657182291
"134","D523ROV2LPC1.30","D515ROV1LPC.0",0.640517677035779
"135","D517ROV2LPC2.30","D515ROV1LPC.0",0.723443677672789
"136","D517ROV2LPC1.30","D515ROV1LPC.0",0.746065399723962
"137","D523ROV2LPC2.30","D515ROV1LPC.0",0.887003928230173
"138","D519ROV3LPC2.30","D515ROV1LPC.0",0.870527019853488
"139","D518ROV3LPC.30","D515ROV1LPC.0",0.866934281770889
"140","D519ROV3LPC1.30","D515ROV1LPC.0",0.928633825246841
"141","D517ROV5LPC.30","D515ROV1LPC.0",0.976256290476696
"142","D515ROV1LPC.0","D522ROV1PC202.0",0.877362352691369
"143","D522ROV1PC202.0","D522ROV1PC202.0",0
"144","D522ROV1PC205.0","D522ROV1PC202.0",0.723905510139081
"145","D522ROV1PC201.0","D522ROV1PC202.0",0.646552075591889
"146","D522ROV1PC203.0","D522ROV1PC202.0",0.61884573733942
"147","D522ROV1LPC1.0","D522ROV1PC202.0",0.770503238135683
"148","D522ROV1LPC2.0","D522ROV1PC202.0",0.870063276356301
"149","D515ROV1PC201.0","D522ROV1PC202.0",0.899705913578936
"150","D522ROV1PC204.0","D522ROV1PC202.0",0.783224333793396
"151","D519ROV2PC201.0","D522ROV1PC202.0",0.774120394946385
"152","D517ROV2LPC2.0","D522ROV1PC202.0",0.7654523834802
"153","D523ROV2LPC2.0","D522ROV1PC202.0",0.77398471175284
"154","D517ROV2LPC1.0","D522ROV1PC202.0",0.746122093640514
"155","D517ROV2PC203.0","D522ROV1PC202.0",0.766744028028453
"156","D517ROV2PC201.0","D522ROV1PC202.0",0.762524471812294
"157","D523ROV2LPC3.0","D522ROV1PC202.0",0.781019853487631
"158","D517ROV2PC202.0","D522ROV1PC202.0",0.744974201082917
"159","D523ROV2LPC1.0","D522ROV1PC202.0",0.768509608238667
"160","D519ROV3PC201.0","D522ROV1PC202.0",0.818486251194394
"161","D519ROV3LPC1.0","D522ROV1PC202.0",0.660679477651555
"162","D518ROV3LPC.0","D522ROV1PC202.0",0.94154411296316
"163","D519ROV3PC205.0","D522ROV1PC202.0",0.726580528718548
"164","D519ROV3PC204.0","D522ROV1PC202.0",0.743483172311286
"165","D518ROV3PC202.0","D522ROV1PC202.0",0.839018791803801
"166","D519ROV3PC202.0","D522ROV1PC202.0",0.84034504724493
"167","D518ROV3PC201.0","D522ROV1PC202.0",0.748230597727997
"168","D519ROV3LPC2.0","D522ROV1PC202.0",0.477894256290477
"169","D519ROV3PC203.0","D522ROV1PC202.0",0.845794882683937
"170","D517ROV5PC201.0","D522ROV1PC202.0",0.953264890115724
"171","D517ROV5LPC.0","D522ROV1PC202.0",0.934946597303323
"172","D522ROV1PC205.10","D522ROV1PC202.0",0.767906996496443
"173","D522ROV1PC203.10","D522ROV1PC202.0",0.622304490922603
"174","D522ROV1LPC2.10","D522ROV1PC202.0",0.828935343454719
"175","D515ROV1PC201.10","D522ROV1PC202.0",0.892735746894575
"176","D522ROV1PC202.10","D522ROV1PC202.0",0.517543263616095
"177","D522ROV1PC204.10","D522ROV1PC202.0",0.809652617050642
"178","D522ROV1PC201.10","D522ROV1PC202.0",0.589724599214354
"179","D522ROV1LPC1.10","D522ROV1PC202.0",0.860142690306827
"180","D515ROV1LPC.10","D522ROV1PC202.0",0.865453020490498
"181","D517ROV2LPC2.10","D522ROV1PC202.0",0.807733305021765
"182","D523ROV2LPC2.10","D522ROV1PC202.0",0.917059985136426
"183","D517ROV2PC203.10","D522ROV1PC202.0",0.902629366174753
"184","D519ROV2PC201.10","D522ROV1PC202.0",0.926408111264465
"185","D523ROV2LPC1.10","D522ROV1PC202.0",0.832823654315745
"186","D517ROV2LPC1.10","D522ROV1PC202.0",0.780850408748275
"187","D523ROV2LPC3.10","D522ROV1PC202.0",0.912387939271685
"188","D518ROV3LPC.10","D522ROV1PC202.0",0.846462681813356
"189","D519ROV3PC204.10","D522ROV1PC202.0",0.696134833846481
"190","D519ROV3LPC2.10","D522ROV1PC202.0",0.281096719396964
"191","D519ROV3PC205.10","D522ROV1PC202.0",0.744180486251194
"192","D518ROV3PC201.10","D522ROV1PC202.0",0.93956322327211
"193","D519ROV3PC203.10","D522ROV1PC202.0",0.829489967087801
"194","D519ROV3PC201.10","D522ROV1PC202.0",0.845974094914534
"195","D519ROV3LPC1.10","D522ROV1PC202.0",0.656489436245886
"196","D517ROV5PC201.10","D522ROV1PC202.0",0.854540397069753
"197","D517ROV5LPC.10","D522ROV1PC202.0",0.979641787875571
"198","D522ROV1LPC2.15","D522ROV1PC202.0",0.872828750398131
"199","D522ROV1PC202.15","D522ROV1PC202.0",0.663959231340907
"200","D522ROV1PC203.15","D522ROV1PC202.0",0.760852744452702
"201","D522ROV1PC204.15","D522ROV1PC202.0",0.820016349930991
"202","D515ROV1LPC.15","D522ROV1PC202.0",0.928387302261387
"203","D522ROV1PC201.15","D522ROV1PC202.0",0.55739505255335
"204","D522ROV1LPC1.15","D522ROV1PC202.0",0.953254910287716
"205","D515ROV1PC201.15","D522ROV1PC202.0",0.908396857415862
"206","D522ROV1PC205.15","D522ROV1PC202.0",0.906029090136957
